"COMMON.NAME","SCIENTIFIC.NAME"
"Reed Bunting","Emberiza schoeniclus"
"Horned Grebe","Podiceps auritus"
"Carrion Crow","Corvus corone"
"Eurasian Jackdaw","Corvus monedula"
"Kashmir Nuthatch","Sitta cashmirensis"
"Little Bustard","Tetrax tetrax"
"Eurasian Magpie","Pica pica"
"Eurasian Eagle-Owl","Bubo bubo"
"Hawfinch","Coccothraustes coccothraustes"
"Rook","Corvus frugilegus"
"Rufous-vented Prinia","Laticilla burnesii"
"Barred Warbler","Sylvia nisoria"
"Hooded Crow","Corvus cornix"
"Hume's Wheatear","Oenanthe albonigra"
"Rock Sparrow","Petronia petronia"
"Ortolan Bunting","Emberiza hortulana"
"Sharp-tailed Sandpiper","Calidris acuminata"
"Red-footed Falcon","Falco vespertinus"
"White-cheeked Tit","Aegithalos leucogenys"
"Mute Swan","Cygnus olor"
"Azure Tit","Cyanistes cyanus"
"Mongolian Finch","Bucanetes mongolicus"
"Crimson-winged Finch","Rhodopechys sanguineus"
"Desert Finch","Rhodospiza obsoleta"
"Arctic Tern","Sterna paradisaea"
"Ground Tit","Pseudopodoces humilis"
"Tibetan Partridge","Perdix hodgsoniae"
"Long-billed Bush Warbler","Locustella major"
"Streaked Rosefinch","Carpodacus rubicilloides"
"Blanford's Snowfinch","Montifringilla blanfordi"
"Sillem's Rosefinch","Carpodacus sillemi"
"Eurasian Golden Oriole","Oriolus oriolus"
"Great Reed Warbler","Acrocephalus arundinaceus"
"Garden Warbler","Sylvia borin"
"Sedge Warbler","Acrocephalus schoenobaenus"
"European Turtle-Dove","Streptopelia turtur"
"Lesser Gray Shrike","Lanius minor"
"Tibetan Lark","Melanocorypha maxima"
"Tibetan Snowcock","Tetraogallus tibetanus"
"White-rumped Snowfinch","Montifringilla taczanowskii"
"Wood Warbler","Phylloscopus sibilatrix"
"Pale Rosefinch","Carpodacus stoliczkae"
"Painted Bush-Quail","Perdicula erythrorhyncha"
"Great Snipe","Gallinago media"
"Brown-rumped Minivet","Pericrocotus cantonensis"
"Yellow-rumped Flycatcher","Ficedula zanthopygia"
"Hill Swallow","Hirundo domicola"
"Nilgiri Flycatcher","Eumyias albicaudatus"
"Black-and-orange Flycatcher","Ficedula nigrorufa"
"Broad-tailed Grassbird","Schoenicola platyurus"
"Nilgiri Thrush","Zoothera neilgherriensis"
"Nilgiri Sholakili","Sholicola major"
"Christmas Island Frigatebird","Fregata andrewsi"
"Rock Eagle-Owl","Bubo bengalensis"
"White-faced Storm-Petrel","Pelagodroma marina"
"South Polar Skua","Stercorarius maccormicki"
"Long-tailed Jaeger","Stercorarius longicaudus"
"Blue-and-white Flycatcher","Cyanoptila cyanomelana"
"White-eyed Gull","Ichthyaetus leucophthalmus"
"Great Frigatebird","Fregata minor"
"Brown Skua","Stercorarius antarcticus"
"White-tailed Tropicbird","Phaethon lepturus"
"Red-footed Booby","Sula sula"
"Palani Laughingthrush","Montecincla fairbanki"
"Nilgiri Pipit","Anthus nilghiriensis"
"White-bellied Sholakili","Sholicola albiventris"
"Ashambu Laughingthrush","Montecincla meridionalis"
"Wedge-tailed Shearwater","Ardenna pacifica"
"Banasura Laughingthrush","Montecincla jerdoni"
"Streaked Shearwater","Calonectris leucomelas"
"Swinhoe's Snipe","Gallinago megala"
"Blue-throated Bee-eater","Merops viridis"
"Cory's Shearwater","Calonectris diomedea"
"Nilgiri Laughingthrush","Montecincla cachinnans"
"Sabine's Gull","Xema sabini"
"White Tern","Gygis alba"
"Black-bellied Storm-Petrel","Fregetta tropica"
"Barau's Petrel","Pterodroma baraui"
"Red Phalarope","Phalaropus fulicarius"
"Siberian Blue Robin","Larvivora cyane"
"Woodchat Shrike","Lanius senator"
"Red-throated Loon","Gavia stellata"
"Red-breasted Merganser","Mergus serrator"
"Chinese Leaf Warbler","Phylloscopus yunnanensis"
"Tawny-breasted Wren-Babbler","Spelaeornis longicaudatus"
"Clicking Shrike-Babbler","Pteruthius intermedius"
"Collared Myna","Acridotheres albocinctus"
"Yellow-throated Laughingthrush","Ianthocincla galbana"
"White-browed Laughingthrush","Ianthocincla sannio"
"Chinese Francolin","Francolinus pintadeanus"
"Claudia's Leaf Warbler","Phylloscopus claudiae"
"Stripe-breasted Woodpecker","Dendrocopos atratus"
"Brown-capped Laughingthrush","Trochalopteron austeni"
"Manipur Bush-Quail","Perdicula manipurensis"
"Green Peafowl","Pavo muticus"
"Moustached Laughingthrush","Ianthocincla cineracea"
"Chin Hills Wren-Babbler","Spelaeornis oatesi"
"Chinese Babax","Ianthocincla lanceolata"
"Great Spotted Woodpecker","Dendrocopos major"
"Long-tailed Wren-Babbler","Spelaeornis chocolatinus"
"Hume's Treecreeper","Certhia manipurensis"
"Hume's Pheasant","Syrmaticus humiae"
"Brown-winged Kingfisher","Pelargopsis amauroptera"
"Mangrove Pitta","Pitta megarhyncha"
"Herring Gull","Larus argentatus"
"Pale-backed Pigeon","Columba eversmanni"
"White-headed Duck","Oxyura leucocephala"
"Tundra Bean-Goose","Anser serrirostris"
"Pallas's Sandgrouse","Syrrhaptes paradoxus"
"Black-bellied Sandgrouse","Pterocles orientalis"
"Plain Leaf Warbler","Phylloscopus neglectus"
"Siberian Crane","Leucogeranus leucogeranus"
"Pied Crow","Corvus albus"
"Sind Woodpecker","Dendrocopos assimilis"
"Finsch's Wheatear","Oenanthe finschii"
"Rufous-necked Snowfinch","Montifringilla ruficollis"
"Rufous-backed Dwarf-Kingfisher","Ceyx rufidorsa"
"Gray-tailed Tattler","Tringa brevipes"
"Red Kite","Milvus milvus"
"Spot-winged Rosefinch","Carpodacus rodopeplus"
"Himalayan Quail","Ophrysia superciliosa"
"Common Goldeneye","Bucephala clangula"
"Gray-crowned Prinia","Prinia cinereocapilla"
"Fieldfare","Turdus pilaris"
"Pink-rumped Rosefinch","Carpodacus waltoni"
"Firethroat","Calliope pectardens"
"Buffy Fish-Owl","Ketupa ketupu"
"Goliath Heron","Ardea goliath"
"Spoon-billed Sandpiper","Calidris pygmea"
"Yellow-browed Bunting","Emberiza chrysophrys"
"Indian Bustard","Ardeotis nigriceps"
"Lesser Florican","Sypheotides indicus"
"Yellow Weaver","Ploceus megarhynchus"
"Saker Falcon","Falco cherrug"
"Yellow-breasted Bunting","Emberiza aureola"
"Derbyan Parakeet","Psittacula derbiana"
"Green Avadavat","Sporaeginthus formosus"
