"Common Name","Scientific Name","Long-term Analysis","Current change Analysis","Subcontinental Endemics","Himalayan/NE Near-Endemics","Significant - Indian Context","Not Relevant - Indian Context","Diurnal","Selected - SOIB"
"Mrs Gould's Sunbird","Aethopyga gouldiae","","X","","","","","X","X"
"Green-tailed Sunbird","Aethopyga nipalensis","X","X","","","X","","X","X"
"Vigors's Sunbird","Aethopyga vigorsii","","X","X","","","","X","X"
"Crimson Sunbird","Aethopyga siparaja","X","X","","","","","X","X"
"Little Spiderhunter","Arachnothera longirostra","X","X","","","X","","X","X"
"Streaked Spiderhunter","Arachnothera magna","X","X","","","","","X","X"
"Alpine Accentor","Prunella collaris","","X","","","","","X","X"
"Altai Accentor","Prunella himalayana","","","","","X","","X","X"
"Robin Accentor","Prunella rubeculoides","","X","","","","","X","X"
"Rufous-breasted Accentor","Prunella strophiata","X","X","","","X","","X","X"
"Brown Accentor","Prunella fulvescens","","","","","","","X",""
"Black-throated Accentor","Prunella atrogularis","","","","","X","","X","X"
"Maroon-backed Accentor","Prunella immaculata","","","","","X","","X","X"
"Forest Wagtail","Dendronanthus indicus","X","X","","","","","X","X"
"Grey Wagtail","Motacilla cinerea","X","X","","","","","X","X"
"Western Yellow Wagtail","Motacilla flava","X","X","","","","","X","X"
"Eastern Yellow Wagtail","Motacilla tschutschensis","","","","","","X","X",""
"Citrine Wagtail","Motacilla citreola","X","X","","","","","X","X"
"White-browed Wagtail","Motacilla maderaspatensis","X","X","","","X","","X","X"
"White Wagtail","Motacilla alba","X","X","","","","","X","X"
"Richard's Pipit","Anthus richardi","X","X","","","X","","X","X"
"Paddyfield Pipit","Anthus rufulus","X","X","","","X","","X","X"
"Long-billed Pipit","Anthus similis","","X","","","X","","X","X"
"Blyth's Pipit","Anthus godlewskii","","X","","","X","","X","X"
"Tawny Pipit","Anthus campestris","X","X","","","","","X","X"
"Nilgiri Pipit","Anthus nilghiriensis","X","X","X","","","","X","X"
"Upland Pipit","Anthus sylvanus","","","","","X","","X","X"
"Rosy Pipit","Anthus roseatus","X","X","","","","","X","X"
"Tree Pipit","Anthus trivialis","X","X","","","","","X","X"
"Olive-backed Pipit","Anthus hodgsoni","X","X","","","","","X","X"
"Red-throated Pipit","Anthus cervinus","","","","","","X","X",""
"Water Pipit","Anthus spinoletta","","","","","","","X",""
"Buff-bellied Pipit","Anthus rubescens","","","","","","X","X",""
"Spotted Elachura","Elachura formosa","","","","","","","X",""
"Bohemian Waxwing","Bombycilla garrulus","","","","","","X","X",""
"Grey Hypocolius","Hypocolius ampelinus","","","","","","","X",""
"Common Chaffinch","Fringilla coelebs","","","","","","X","X",""
"Brambling","Fringilla montifringilla","","","","","","X","X",""
"Black-and-yellow Grosbeak","Mycerobas icterioides","","","","X","","","X","X"
"Collared Grosbeak","Mycerobas affinis","","","","","X","","X","X"
"Spot-winged Grosbeak","Mycerobas melanozanthos","","","","","X","","X","X"
"White-winged Grosbeak","Mycerobas carnipes","","","","","","","X",""
"Hawfinch","Coccothraustes coccothraustes","","","","","","X","X",""
"Common Rosefinch","Carpodacus erythrinus","X","X","","","","","X","X"
"Scarlet Finch","Carpodacus sipahi","","X","","","X","","X","X"
"Blyth's Rosefinch","Carpodacus grandis","","","","X","","","X","X"
"Himalayan Beautiful Rosefinch","Carpodacus pulcherrimus","","","","","","","X",""
"Pink-rumped Rosefinch","Carpodacus waltoni","","","","","","X","X",""
"Dark-rumped Rosefinch","Carpodacus edwardsii","","","","","","","X",""
"Pink-browed Rosefinch","Carpodacus rodochroa","","X","","X","","","X","X"
"Spot-winged Rosefinch","Carpodacus rodopeplus","","","","X","","","X","X"
"Vinaceous Rosefinch","Carpodacus vinaceus","","","","","","X","X",""
"Pale Rosefinch","Carpodacus stoliczkae","","","","","","X","X",""
"Sillem's Rosefinch","Carpodacus sillemi","","","","","","X","X",""
"Streaked Rosefinch","Carpodacus rubicilloides","","","","","","","X",""
"Great Rosefinch","Carpodacus rubicilla","","","","","","","X",""
"Red-fronted Rosefinch","Carpodacus puniceus","","","","","","","X",""
"Crimson-browed Finch","Carpodacus subhimachalus","","","","","X","","X","X"
"Himalayan White-browed Rosefinch","Carpodacus thura","","","","X","","","X","X"
"Chinese White-browed Rosefinch","Carpodacus dubius","","","","","","X","X",""
"Brown Bullfinch","Pyrrhula nipalensis","","","","","X","","X","X"
"Orange Bullfinch","Pyrrhula aurantiaca","","","X","X","","","X","X"
"Red-headed Bullfinch","Pyrrhula erythrocephala","","","","X","","","X","X"
"Grey-headed Bullfinch","Pyrrhula erythaca","","","","","","","X",""
"Crimson-winged Finch","Rhodopechys sanguineus","","","","","","X","X",""
"Trumpeter Finch","Bucanetes githagineus","","","","","","","X",""
"Mongolian Finch","Bucanetes mongolicus","","","","","","","X",""
"Blanford's Rosefinch","Agraphospiza rubescens","","","","","","","X",""
"Gold-naped Finch","Pyrrhoplectes epauletta","","X","","X","","","X","X"
"Spectacled Finch","Callacanthis burtoni","","","","X","","","X","X"
"Dark-breasted Rosefinch","Procarduelis nipalensis","","X","","","X","","X","X"
"Plain Mountain Finch","Leucosticte nemoricola","X","X","","","","","X","X"
"Brandt's Mountain Finch","Leucosticte brandti","","","","","","","X",""
"Desert Finch","Rhodospiza obsoleta","","","","","","X","X",""
"Yellow-breasted Greenfinch","Chloris spinoides","X","X","","X","","","X","X"
"Black-headed Greenfinch","Chloris ambigua","","","","","","X","X",""
"Twite","Linaria flavirostris","","","","","","","X",""
"Common Linnet","Linaria cannabina","","","","","","","X",""
"Red Crossbill","Loxia curvirostra","","","","","","","X",""
"European Goldfinch","Carduelis carduelis","","X","","","","","X","X"
"Fire-fronted Serin","Serinus pusillus","","X","","","","","X","X"
"Tibetan Siskin","Spinus thibetanus","","","","","","","X",""
"Eurasian Siskin","Spinus spinus","","","","","","X","X",""
"Crested Bunting","Emberiza lathami","X","X","","","X","","X","X"
"Black-headed Bunting","Emberiza melanocephala","","X","","","X","","X","X"
"Red-headed Bunting","Emberiza bruniceps","","X","","","X","","X","X"
"Chestnut-eared Bunting","Emberiza fucata","","","","","","","X",""
"Rock Bunting","Emberiza cia","X","X","","","","","X","X"
"Godlewski's Bunting","Emberiza godlewskii","","","","","","X","X",""
"White-capped Bunting","Emberiza stewarti","","X","","","X","","X","X"
"Yellowhammer","Emberiza citrinella","","","","","","X","X",""
"Pine Bunting","Emberiza leucocephalos","","","","","","","X",""
"Grey-necked Bunting","Emberiza buchanani","","X","","","X","","X","X"
"Ortolan Bunting","Emberiza hortulana","","","","","","X","X",""
"Striolated Bunting","Emberiza striolata","","","","","","","X",""
"Eurasian Reed Bunting","Emberiza schoeniclus","","","","","","X","X",""
"Yellow-breasted Bunting","Emberiza aureola","","","","","X","","X","X"
"Little Bunting","Emberiza pusilla","","","","","","","X",""
"Black-faced Bunting","Emberiza spodocephala","","","","","","","X",""
"Chestnut Bunting","Emberiza rutila","","","","","","","X",""
"Yellow-browed Bunting","Emberiza chrysophrys","","","","","","X","X",""
"Tristram's Bunting","Emberiza tristrami","","","","","","X","X",""
"House Sparrow","Passer domesticus","X","X","","","","","X","X"
"Spanish Sparrow","Passer hispaniolensis","","","","","","","X",""
"Sind Sparrow","Passer pyrrhonotus","","","X","","X","","X","X"
"Russet Sparrow","Passer cinnamomeus","X","X","","","","","X","X"
"Eurasian Tree Sparrow","Passer montanus","X","X","","","","","X","X"
"Yellow-throated Sparrow","Gymnoris xanthocollis","X","X","","","X","","X","X"
"Eurasian Rock Sparrow","Petronia petronia","","","","","","","X",""
"Pale Rock Sparrow","Carpospiza brachydactyla","","","","","","X","X",""
"Black-winged Snowfinch","Montifringilla adamsi","","","","","","","X",""
"White-rumped Snowfinch","Onychostruthus taczanowskii","","","","","","X","X",""
"Rufous-necked Snowfinch","Pyrgilauda ruficollis","","","","","","","X",""
"Blanford's Snowfinch","Pyrgilauda blanfordi","","","","","","","X",""
"Streaked Weaver","Ploceus manyar","X","X","","","","","X","X"
"Baya Weaver","Ploceus philippinus","X","X","","","","","X","X"
"Finn's Weaver","Ploceus megarhynchus","","","X","","","","X","X"
"Black-breasted Weaver","Ploceus benghalensis","","X","X","","","","X","X"
"Green Munia","Amandava formosa","","","X","","","","X","X"
"Red Munia","Amandava amandava","X","X","","","","","X","X"
"Indian Silverbill","Euodice malabarica","X","X","","","","","X","X"
"White-rumped Munia","Lonchura striata","X","X","","","","","X","X"
"Black-throated Munia","Lonchura kelaarti","","X","X","","","","X","X"
"Scaly-breasted Munia","Lonchura punctulata","X","X","","","","","X","X"
"Tricoloured Munia","Lonchura malacca","X","X","X","","","","X","X"
"Chestnut Munia","Lonchura atricapilla","","","","","X","","X","X"
