species,scientific,essential,discard,remarks
Siberian Stonechat,Saxicola maurus,,,
White-tailed Stonechat,Saxicola leucurus,,,
Pied Bushchat,Saxicola caprata,,,
Jerdon's Bushchat,Saxicola jerdoni,,,
Gray Bushchat,Saxicola ferreus,,,
Indian Chat,Cercomela fusca,,,
Hume's Wheatear,Oenanthe albonigra,,1,
Northern Wheatear,Oenanthe oenanthe,,,
Finsch's Wheatear,Oenanthe finschii,,1,
Variable Wheatear,Oenanthe picata,1,,
Pied Wheatear,Oenanthe pleschanka,,,Edge of range ?
Red-tailed Wheatear,Oenanthe xanthoprymna,,,
Desert Wheatear,Oenanthe deserti,,,
Isabelline Wheatear,Oenanthe isabellina,,,
Grandala,Grandala coelicolor,1,,
Long-tailed Thrush,Zoothera dixoni,1,,
Alpine Thrush,Zoothera mollissima,1,,
Himalayan Thrush,Zoothera salimalii,,,
Dark-sided Thrush,Zoothera marginata,,,
Long-billed Thrush,Zoothera monticola,,,
Scaly Thrush,Zoothera dauma,1,,
Nilgiri Thrush,Zoothera neilgherriensis,,,
Purple Cochoa,Cochoa purpurea,1,,
Green Cochoa,Cochoa viridis,,,
Siberian Thrush,Geokichla sibirica,,1,
Pied Thrush,Geokichla wardii,,,
Orange-headed Thrush,Geokichla citrina,1,,
Chinese Thrush,Otocichla mupinensis,,1,
Mistle Thrush,Turdus viscivorus,,,
Song Thrush,Turdus philomelos,,1,
Gray-winged Blackbird,Turdus boulboul,1,,
Indian Blackbird,Turdus simillimus,,,
Tickell's Thrush,Turdus unicolor,,,
Black-breasted Thrush,Turdus dissimilis,,,
Gray-sided Thrush,Turdus feae,,,
Eyebrowed Thrush,Turdus obscurus,,,
White-backed Thrush,Turdus kessleri,,1,
Tibetan Blackbird,Turdus maximus,,,
Fieldfare,Turdus pilaris,,1,
White-collared Blackbird,Turdus albocinctus,,,
Chestnut Thrush,Turdus rubrocanus,,,
Black-throated Thrush,Turdus atrogularis,,,
Red-throated Thrush,Turdus ruficollis,,,
Dusky Thrush,Turdus eunomus,,,
Naumann's Thrush,Turdus naumanni,,1,
Asian Glossy Starling,Aplonis panayensis,,,
Golden-crested Myna,Ampeliceps coronatus,,1,
Common Hill Myna,Gracula religiosa,,,
Southern Hill Myna,Gracula indica,,,
European Starling,Sturnus vulgaris,,,
Rosy Starling,Pastor roseus,1,,
Daurian Starling,Agropsar sturninus,,1,
Chestnut-cheeked Starling,Agropsar philippensis,,1,
Asian Pied Starling,Gracupica contra,,,
Brahminy Starling,Sturnia pagodarum,1,,
Chestnut-tailed Starling,Sturnia malabarica,1,,
Malabar Starling,Sturnia blythii,,,
White-headed Starling,Sturnia erythropygia,,,
White-cheeked Starling,Spodiopsar cineraceus,,1,
Common Myna,Acridotheres tristis,,,
Bank Myna,Acridotheres ginginianus,,,
Jungle Myna,Acridotheres fuscus,,,
Collared Myna,Acridotheres albocinctus,,1,
Great Myna,Acridotheres grandis,,,
Spot-winged Starling,Saroglossa spilopterus,1,,
Blue-winged Leafbird,Chloropsis cochinchinensis,,,
Jerdon's Leafbird,Chloropsis jerdoni,,,
Golden-fronted Leafbird,Chloropsis aurifrons,1,,
Orange-bellied Leafbird,Chloropsis hardwickii,,,
Thick-billed Flowerpecker,Dicaeum agile,1,,
Yellow-vented Flowerpecker,Dicaeum chrysorrheum,,,
Yellow-bellied Flowerpecker,Dicaeum melanoxanthum,,,
Pale-billed Flowerpecker,Dicaeum erythrorhynchos,,,
Nilgiri Flowerpecker,Dicaeum concolor,,,
Plain Flowerpecker,Dicaeum minullum,,,
Andaman Flowerpecker,Dicaeum virescens,,,
Fire-breasted Flowerpecker,Dicaeum ignipectus,,,
Scarlet-backed Flowerpecker,Dicaeum cruentatum,,,
Ruby-cheeked Sunbird,Chalcoparia singalensis,,,
Purple-rumped Sunbird,Leptocoma zeylonica,,,
Crimson-backed Sunbird,Leptocoma minima,,,
Van Hasselt's Sunbird,Leptocoma brasiliana,,1,Edge of range
Purple Sunbird,Cinnyris asiaticus,,,
Olive-backed Sunbird,Cinnyris jugularis,,1,Edge of range
Long-billed Sunbird,Cinnyris lotenius,,,
Fire-tailed Sunbird,Aethopyga ignicauda,1,,
Black-throated Sunbird,Aethopyga saturata,,,
Gould's Sunbird,Aethopyga gouldiae,,,
Green-tailed Sunbird,Aethopyga nipalensis,1,,
Vigors's Sunbird,Aethopyga vigorsii,,,
Crimson Sunbird,Aethopyga siparaja,,,
Little Spiderhunter,Arachnothera longirostra,1,,
Streaked Spiderhunter,Arachnothera magna,,,
Alpine Accentor,Prunella collaris,,,
Himalayan Accentor,Prunella himalayana,1,,
Robin Accentor,Prunella rubeculoides,,,
Rufous-breasted Accentor,Prunella strophiata,1,,
Brown Accentor,Prunella fulvescens,,,
Black-throated Accentor,Prunella atrogularis,1,,
Maroon-backed Accentor,Prunella immaculata,1,,
Forest Wagtail,Dendronanthus indicus,,,
Gray Wagtail,Motacilla cinerea,,,
Western Yellow Wagtail,Motacilla flava,,,
Eastern Yellow Wagtail,Motacilla tschutschensis,,1,
Citrine Wagtail,Motacilla citreola,,,
White-browed Wagtail,Motacilla maderaspatensis,1,,
White Wagtail,Motacilla alba,,,
Richard's Pipit,Anthus richardi,1,,
Paddyfield Pipit,Anthus rufulus,1,,
Long-billed Pipit,Anthus similis,1,,
Blyth's Pipit,Anthus godlewskii,1,,
Tawny Pipit,Anthus campestris,,,
Nilgiri Pipit,Anthus nilghiriensis,,,
Upland Pipit,Anthus sylvanus,1,,
Rosy Pipit,Anthus roseatus,,,
Tree Pipit,Anthus trivialis,,,
Olive-backed Pipit,Anthus hodgsoni,,,
Red-throated Pipit,Anthus cervinus,,1,
Water Pipit,Anthus spinoletta,,,
American Pipit,Anthus rubescens,,1,
Spotted Elachura,Elachura formosa,,,
Bohemian Waxwing,Bombycilla garrulus,,1,
Hypocolius,Hypocolius ampelinus,,,
Common Chaffinch,Fringilla coelebs,,1,Edge of range
Brambling,Fringilla montifringilla,,1,Edge of range
Black-and-yellow Grosbeak,Mycerobas icterioides,,,
Collared Grosbeak,Mycerobas affinis,1,,
Spot-winged Grosbeak,Mycerobas melanozanthos,1,,
White-winged Grosbeak,Mycerobas carnipes,,,
Hawfinch,Coccothraustes coccothraustes,,1,
Common Rosefinch,Carpodacus erythrinus,,,
Scarlet Finch,Carpodacus sipahi,1,,
Blyth's Rosefinch,Carpodacus grandis,,,
Himalayan Beautiful Rosefinch,Carpodacus pulcherrimus,,,
Pink-rumped Rosefinch,Carpodacus waltoni,,1,
Dark-rumped Rosefinch,Carpodacus edwardsii,,,
Pink-browed Rosefinch,Carpodacus rodochroa,,,
Spot-winged Rosefinch,Carpodacus rodopeplus,,,
Vinaceous Rosefinch,Carpodacus vinaceus,,1,
Pale Rosefinch,Carpodacus stoliczkae,,1,Edge of range
Sillem's Rosefinch,Carpodacus sillemi,,1,
Streaked Rosefinch,Carpodacus rubicilloides,,,
Great Rosefinch,Carpodacus rubicilla,,,
Red-fronted Rosefinch,Carpodacus puniceus,,,
Crimson-browed Finch,Carpodacus subhimachalus,1,,
Himalayan White-browed Rosefinch,Carpodacus thura,,,
Chinese White-browed Rosefinch,Carpodacus dubius,,1,
Brown Bullfinch,Pyrrhula nipalensis,1,,
Orange Bullfinch,Pyrrhula aurantiaca,,,
Red-headed Bullfinch,Pyrrhula erythrocephala,,,
Gray-headed Bullfinch,Pyrrhula erythaca,,,
Crimson-winged Finch,Rhodopechys sanguineus,,1,
Trumpeter Finch,Bucanetes githagineus,,,
Mongolian Finch,Bucanetes mongolicus,,,
Blanford's Rosefinch,Agraphospiza rubescens,,,
Gold-naped Finch,Pyrrhoplectes epauletta,,,
Spectacled Finch,Callacanthis burtoni,,,
Dark-breasted Rosefinch,Procarduelis nipalensis,1,,
Plain Mountain-Finch,Leucosticte nemoricola,,,
Black-headed Mountain-Finch,Leucosticte brandti,,,
Desert Finch,Rhodospiza obsoleta,,1,
Yellow-breasted Greenfinch,Chloris spinoides,,,
Black-headed Greenfinch,Chloris ambigua,,1,Edge of range
Twite,Linaria flavirostris,,,
Eurasian Linnet,Linaria cannabina,,,
Red Crossbill,Loxia curvirostra,,,
European Goldfinch,Carduelis carduelis,,,
Fire-fronted Serin,Serinus pusillus,,,
Tibetan Serin,Spinus thibetanus,,,
Eurasian Siskin,Spinus spinus,,1,
Crested Bunting,Emberiza lathami,1,,
Black-headed Bunting,Emberiza melanocephala,1,,
Red-headed Bunting,Emberiza bruniceps,1,,
Chestnut-eared Bunting,Emberiza fucata,,,
Rock Bunting,Emberiza cia,,,
Godlewski's Bunting,Emberiza godlewskii,,1,
Chestnut-breasted Bunting,Emberiza stewarti,1,,
Yellowhammer,Emberiza citrinella,,1,
Pine Bunting,Emberiza leucocephalos,,,
Gray-necked Bunting,Emberiza buchanani,1,,
Ortolan Bunting,Emberiza hortulana,,1,
Striolated Bunting,Emberiza striolata,,,
Reed Bunting,Emberiza schoeniclus,,1,
Yellow-breasted Bunting,Emberiza aureola,1,,
Little Bunting,Emberiza pusilla,,,
Black-faced Bunting,Emberiza spodocephala,,,
Chestnut Bunting,Emberiza rutila,,,
Yellow-browed Bunting,Emberiza chrysophrys,,1,
Tristram's Bunting,Emberiza tristrami,,1,
House Sparrow,Passer domesticus,,,
Spanish Sparrow,Passer hispaniolensis,,,
Sind Sparrow,Passer pyrrhonotus,1,,
Russet Sparrow,Passer cinnamomeus,,,
Eurasian Tree Sparrow,Passer montanus,,,
Chestnut-shouldered Petronia,Gymnornis xanthocollis,1,,
Rock Sparrow,Petronia petronia,,,
Pale Rockfinch,Carpospiza brachydactyla,,1,
Black-winged Snowfinch,Montifringilla adamsi,,,
White-rumped Snowfinch,Montifringilla taczanowskii,,1,
Rufous-necked Snowfinch,Montifringilla ruficollis,,,
Blanford's Snowfinch,Montifringilla blanfordi,,,
Streaked Weaver,Ploceus manyar,,,
Baya Weaver,Ploceus philippinus,,,
Yellow Weaver,Ploceus megarhynchus,,,
Bengal Weaver,Ploceus benghalensis,,,
Green Avadavat,Sporaeginthus formosus,,,
Red Avadavat,Amandava amandava,,,
Indian Silverbill,Euodice malabarica,,,
White-rumped Munia,Lonchura striata,,,
Black-throated Munia,Lonchura kelaarti,,,
Scaly-breasted Munia,Lonchura punctulata,,,
Tricolored Munia,Lonchura malacca,,,
Chestnut Munia,Lonchura atricapilla,1,,Included as part of Tricolored
