eBird English Name,eBird Scientific Name,India,Subcontinent,Mainland India,Western Ghats,Southern Andhra Pradesh,Southern Deccan Plateau,Central India,Western Himalayas,Eastern Himalayas,Himalayas,Assam Plains,Indus Plains,Northern Myanmar Lowlands,Andaman and Nicobar islands
Scarlet Finch,Carpodacus sipahi,,,,,,,,,,,,,,
Sillem's Rosefinch,Carpodacus sillemi,,,,,,,,,,,,,,
Streaked Rosefinch,Carpodacus rubicilloides,,,,,,,,,,,,,,
Great Rosefinch,Carpodacus rubicilla,,,,,,,,,,,,,,
Red-fronted Rosefinch,Carpodacus puniceus,,,,,,,,,,,,,,
Crimson-browed Finch,Carpodacus subhimachalus,,,,,,,,,,,,,,
Himalayan White-browed Rosefinch,Carpodacus thura,,,,,,,,,,1,,,,
Chinese White-browed Rosefinch,Carpodacus dubius,,,,,,,,,,,,,,
Blyth's Rosefinch,Carpodacus grandis,,,,,,,,,,1,,,,
Himalayan Beautiful Rosefinch,Carpodacus pulcherrimus,,,,,,,,,,,,,,
Pink-rumped Rosefinch,Carpodacus waltoni,,,,,,,,,,,,,,
Dark-rumped Rosefinch,Carpodacus edwardsii,,,,,,,,,,,,,,
Pink-browed Rosefinch,Carpodacus rodochroa,,,,,,,,,,1,,,,
Spot-winged Rosefinch,Carpodacus rodopeplus,,,,,,,,,,1,,,,
Vinaceous Rosefinch,Carpodacus vinaceus,,,,,,,,,,,,,,
Pale Rosefinch,Carpodacus stoliczkae,,,,,,,,,,,,,,
Brown Bullfinch,Pyrrhula nipalensis,,,,,,,,,,,,,,
Orange Bullfinch,Pyrrhula aurantiaca,,1,,,,,,1,,1,,,,
Red-headed Bullfinch,Pyrrhula erythrocephala,,,,,,,,,,1,,,,
Gray-headed Bullfinch,Pyrrhula erythaca,,,,,,,,,,,,,,
Crimson-winged Finch,Rhodopechys sanguineus,,,,,,,,,,,,,,
Trumpeter Finch,Bucanetes githagineus,,,,,,,,,,,,,,
Mongolian Finch,Bucanetes mongolicus,,,,,,,,,,,,,,
Blanford's Rosefinch,Agraphospiza rubescens,,,,,,,,,,,,,,
Spectacled Finch,Callacanthis burtoni,,,,,,,,1,,1,,,,
Gold-naped Finch,Pyrrhoplectes epauletta,,,,,,,,,,1,,,,
Dark-breasted Rosefinch,Procarduelis nipalensis,,,,,,,,,,,,,,
Plain Mountain-Finch,Leucosticte nemoricola,,,,,,,,,,,,,,
Black-headed Mountain-Finch,Leucosticte brandti,,,,,,,,,,,,,,
Desert Finch,Rhodospiza obsoleta,,,,,,,,,,,,,,
Yellow-breasted Greenfinch,Chloris spinoides,,,,,,,,,,1,,,,
Black-headed Greenfinch,Chloris ambigua,,,,,,,,,,,,,,
Twite,Linaria flavirostris,,,,,,,,,,,,,,
Eurasian Linnet,Linaria cannabina,,,,,,,,,,,,,,
Red Crossbill,Loxia curvirostra,,,,,,,,,,,,,,
European Goldfinch,Carduelis carduelis,,,,,,,,,,,,,,
Fire-fronted Serin,Serinus pusillus,,,,,,,,,,,,,,
Tibetan Serin,Spinus thibetanus,,,,,,,,,,,,,,
Eurasian Siskin,Spinus spinus,,,,,,,,,,,,,,
Crested Bunting,Emberiza lathami,,,,,,,,,,,,,,
Black-headed Bunting,Emberiza melanocephala,,,,,,,,,,,,,,
Red-headed Bunting,Emberiza bruniceps,,,,,,,,,,,,,,
Chestnut-eared Bunting,Emberiza fucata,,,,,,,,,,,,,,
Rock Bunting,Emberiza cia,,,,,,,,,,,,,,
Godlewski's Bunting,Emberiza godlewskii,,,,,,,,,,,,,,
Gray-necked Bunting,Emberiza buchanani,,,,,,,,,,,,,,
Ortolan Bunting,Emberiza hortulana,,,,,,,,,,,,,,
Chestnut-breasted Bunting,Emberiza stewarti,,,,,,,,,,,,,,
Yellowhammer,Emberiza citrinella,,,,,,,,,,,,,,
Pine Bunting,Emberiza leucocephalos,,,,,,,,,,,,,,
Striolated Bunting,Emberiza striolata,,,,,,,,,,,,,,
Reed Bunting,Emberiza schoeniclus,,,,,,,,,,,,,,
Yellow-breasted Bunting,Emberiza aureola,,,,,,,,,,,,,,
Black-faced Bunting,Emberiza spodocephala,,,,,,,,,,,,,,
Chestnut Bunting,Emberiza rutila,,,,,,,,,,,,,,
Yellow-browed Bunting,Emberiza chrysophrys,,,,,,,,,,,,,,
Tristram's Bunting,Emberiza tristrami,,,,,,,,,,,,,,
Little Bunting,Emberiza pusilla,,,,,,,,,,,,,,
Yellow-bellied Fairy-Fantail,Chelidorhynx hypoxanthus,,,,,,,,,,,,,,
Gray-headed Canary-Flycatcher,Culicicapa ceylonensis,,,,,,,,,,,,,,
Fire-capped Tit,Cephalopyrus flammiceps,,,,,,,,,,,,,,
Yellow-browed Tit,Sylviparus modestus,,,,,,,,,,,,,,
Sultan Tit,Melanochlora sultanea,,,,,,,,,,,,,,
Coal Tit,Periparus ater,,,,,,,,,,,,,,
Black-breasted Tit,Periparus rufonuchalis,,,,,,,,,,,,,,
Rufous-vented Tit,Periparus rubidiventris,,,,,,,,,,,,,,
Gray-crested Tit,Lophophanes dichrous,,,,,,,,,,,,,,
Azure Tit,Cyanistes cyanus,,,,,,,,,,,,,,
Ground Tit,Pseudopodoces humilis,,,,,,,,,,,,,,
Green-backed Tit,Parus monticolus,,,,,,,,,,,,,,
Cinereous Tit,Parus cinereus,,,,,,,,,,,,,,
White-naped Tit,Machlolophus nuchalis,1,1,1,,,,,,,,,,,
Himalayan Black-lored Tit,Machlolophus xanthogenys,,,,,,,,,,1,,,,
Indian Yellow Tit,Machlolophus aplonotus,1,1,1,,,,,,,,,,,
Yellow-cheeked Tit,Machlolophus spilonotus,,,,,,,,,,,,,,
White-crowned Penduline-Tit,Remiz coronatus,,,,,,,,,,,,,,
Greater Hoopoe-Lark,Alaemon alaudipes,,,,,,,,,,,,,,
Rufous-tailed Lark,Ammomanes phoenicura,,1,,,,,,,,,,,,
Desert Lark,Ammomanes deserti,,,,,,,,,,,,,,
Black-crowned Sparrow-Lark,Eremopterix nigriceps,,,,,,,,,,,,,,
Ashy-crowned Sparrow-Lark,Eremopterix griseus,,1,,,,,,,,,,,,
Singing Bushlark,Mirafra cantillans,,,,,,,,,,,,,,
Bengal Bushlark,Mirafra assamica,,1,,,,,,,,,,,,
Indian Bushlark,Mirafra erythroptera,,1,,,,,,,,,,,,
Jerdon's Bushlark,Mirafra affinis,,1,,,,,,,,,,,,
Lesser Short-toed Lark,Alaudala rufescens,,,,,,,,,,,,,,
Sand Lark,Alaudala raytal,,,,,,,,,,,,,,
Bimaculated Lark,Melanocorypha bimaculata,,,,,,,,,,,,,,
Tibetan Lark,Melanocorypha maxima,,,,,,,,,,,,,,
Hume's Lark,Calandrella acutirostris,,,,,,,,,,,,,,
Greater Short-toed Lark,Calandrella brachydactyla,,,,,,,,,,,,,,
Sykes's Short-toed Lark,Calandrella dukhunensis,,,,,,,,,,,,,,
Horned Lark,Eremophila alpestris,,,,,,,,,,,,,,
Eurasian Skylark,Alauda arvensis,,,,,,,,,,,,,,
Oriental Skylark,Alauda gulgula,,,,,,,,,,,,,,
Crested Lark,Galerida cristata,,,,,,,,,,,,,,
Malabar Lark,Galerida malabarica,1,1,1,,,,,,,,,,,
Tawny Lark,Galerida deva,1,1,1,,,,,,,,,,,
Zitting Cisticola,Cisticola juncidis,,,,,,,,,,,,,,
Golden-headed Cisticola,Cisticola exilis,,,,,,,,,,,,,,
Striated Prinia,Prinia crinigera,,,,,,,,,,,,,,
Black-throated Prinia,Prinia atrogularis,,,,,,,,,,1,,,,
Hill Prinia,Prinia superciliaris,,,,,,,,,,,,,,
Gray-crowned Prinia,Prinia cinereocapilla,,1,,,,,,,,1,,,,
Rufous-fronted Prinia,Prinia buchanani,,1,,,,,,,,,,,,
Rufescent Prinia,Prinia rufescens,,,,,,,,,,,,,,
Gray-breasted Prinia,Prinia hodgsonii,,,,,,,,,,,,,,
Graceful Prinia,Prinia gracilis,,,,,,,,,,,,,,
Jungle Prinia,Prinia sylvatica,,1,,,,,,,,,,,,
Yellow-bellied Prinia,Prinia flaviventris,,,,,,,,,,,,,,
Ashy Prinia,Prinia socialis,,1,,,,,,,,,,,,
Plain Prinia,Prinia inornata,,,,,,,,,,,,,,
Common Tailorbird,Orthotomus sutorius,,,,,,,,,,,,,,
Dark-necked Tailorbird,Orthotomus atrogularis,,,,,,,,,,,,,,
Pallas's Grasshopper-Warbler,Locustella certhiola,,,,,,,,,,,,,,
Lanceolated Warbler,Locustella lanceolata,,,,,,,,,,,,,,
Brown Bush Warbler,Locustella luteoventris,,,,,,,,,,,,,,
Chinese Bush Warbler,Locustella tacsanowskia,,,,,,,,,,,,,,
Long-billed Bush Warbler,Locustella major,,,,,,,,,,,,,,
Common Grasshopper-Warbler,Locustella naevia,,,,,,,,,,,,,,
Baikal Bush Warbler,Locustella davidi,,,,,,,,,,,,,,
West Himalayan Bush Warbler,Locustella kashmirensis,,,,,,,,1,,1,,,,
Spotted Bush Warbler,Locustella thoracica,,,,,,,,,,,,,,
Russet Bush Warbler,Locustella mandelli,,,,,,,,,,,,,,
Striated Grassbird,Megalurus palustris,,,,,,,,,,,,,,
Broad-tailed Grassbird,Schoenicola platyurus,1,1,1,1,,,,,,,,,,
Bristled Grassbird,Chaetornis striata,,1,,,,,,,,,,,,
Thick-billed Warbler,Arundinax aedon,,,,,,,,,,,,,,
Booted Warbler,Iduna caligata,,,,,,,,,,,,,,
Sykes's Warbler,Iduna rama,,,,,,,,,,,,,,
Black-browed Reed Warbler,Acrocephalus bistrigiceps,,,,,,,,,,,,,,
Moustached Warbler,Acrocephalus melanopogon,,,,,,,,,,,,,,
Sedge Warbler,Acrocephalus schoenobaenus,,,,,,,,,,,,,,
Large-billed Reed Warbler,Acrocephalus orinus,,,,,,,,,,,,,,
Blyth's Reed Warbler,Acrocephalus dumetorum,,,,,,,,,,,,,,
Paddyfield Warbler,Acrocephalus agricola,,,,,,,,,,,,,,
Blunt-winged Warbler,Acrocephalus concinens,,,,,,,,,,,,,,
Great Reed Warbler,Acrocephalus arundinaceus,,,,,,,,,,,,,,
Oriental Reed Warbler,Acrocephalus orientalis,,,,,,,,,,,,,,
Clamorous Reed Warbler,Acrocephalus stentoreus,,,,,,,,,,,,,,
Immaculate Cupwing,Pnoepyga immaculata,,,,,,,,,,1,,,,
Pygmy Cupwing,Pnoepyga pusilla,,,,,,,,,,,,,,
Scaly-breasted Cupwing,Pnoepyga albiventer,,,,,,,,,,,,,,
Common House-Martin,Delichon urbicum,,,,,,,,,,,,,,
Asian House-Martin,Delichon dasypus,,,,,,,,,,,,,,
Nepal House-Martin,Delichon nipalense,,,,,,,,,,,,,,
Streak-throated Swallow,Petrochelidon fluvicola,,,,,,,,,,,,,,
Red-rumped Swallow,Cecropis daurica,,,,,,,,,,,,,,
Striated Swallow,Cecropis striolata,,,,,,,,,,,,,,
Hill Swallow,Hirundo domicola,,1,,,,,,,,,,,,
Pacific Swallow,Hirundo tahitica,,,,,,,,,,,,,,
Wire-tailed Swallow,Hirundo smithii,,,,,,,,,,,,,,
Barn Swallow,Hirundo rustica,,,,,,,,,,,,,,
Eurasian Crag-Martin,Ptyonoprogne rupestris,,,,,,,,,,,,,,
Dusky Crag-Martin,Ptyonoprogne concolor,,,,,,,,,,,,,,
Gray-throated Martin,Riparia chinensis,,,,,,,,,,,,,,
Bank Swallow,Riparia riparia,,,,,,,,,,,,,,
Pale Sand Martin,Riparia diluta,,,,,,,,,,,,,,
White-throated Bulbul,Alophoixus flaveolus,,,,,,,,,,,,,,
Cachar Bulbul,Iole cacharensis,,,,,,,,,,,,,1,
Ashy Bulbul,Hemixos flavala,,,,,,,,,,,,,,
Nicobar Bulbul,Hypsipetes nicobariensis,1,1,,,,,,,,,,,,1
Mountain Bulbul,Ixos mcclellandii,,,,,,,,,,,,,,
Square-tailed Bulbul,Hypsipetes ganeesa,,1,,,,,,,,,,,,
Black Bulbul,Hypsipetes leucocephalus,,,,,,,,,,,,,,
Crested Finchbill,Spizixos canifrons,,,,,,,,,,,,,,
Striated Bulbul,Pycnonotus striatus,,,,,,,,,,,,,,
Flame-throated Bulbul,Rubigula gularis,1,1,1,1,,,,,,,,,,
Black-crested Bulbul,Rubigula flaviventris,,,,,,,,,,,,,,
Red-whiskered Bulbul,Pycnonotus jocosus,,,,,,,,,,,,,,
Himalayan Bulbul,Pycnonotus leucogenys,,,,,,,,,,1,,,,
White-eared Bulbul,Pycnonotus leucotis,,,,,,,,,,,,,,
Red-vented Bulbul,Pycnonotus cafer,,,,,,,,,,,,,,
Yellow-throated Bulbul,Pycnonotus xantholaemus,1,1,1,,,1,,,,,,,,
Flavescent Bulbul,Pycnonotus flavescens,,,,,,,,,,,,,,
White-browed Bulbul,Pycnonotus luteolus,,1,,,,,,,,,,,,
Black-headed Bulbul,Brachypodius atriceps,,,,,,,,,,,,,,
Andaman Bulbul,Brachypodius fuscoflavescens,1,1,,,,,,,,,,,,1
Gray-headed Bulbul,Brachypodius priocephalus,1,1,1,1,,,,,,,,,,
Yellow-browed Bulbul,Iole indica,,1,,,,,,,,,,,,
Wood Warbler,Phylloscopus sibilatrix,,,,,,,,,,,,,,
Chinese Leaf Warbler,Phylloscopus yunnanensis,,,,,,,,,,,,,,
Brooks's Leaf Warbler,Phylloscopus subviridis,,,,,,,,,,,,,,
Yellow-browed Warbler,Phylloscopus inornatus,,,,,,,,,,,,,,
Hume's Warbler,Phylloscopus humei,,,,,,,,,,,,,,
Pale-rumped Warbler,Phylloscopus chloronotus,,,,,,,,,,,,,,
Buff-barred Warbler,Phylloscopus pulcher,,,,,,,,,,,,,,
Ashy-throated Warbler,Phylloscopus maculipennis,,,,,,,,,,,,,,
Dusky Warbler,Phylloscopus fuscatus,,,,,,,,,,,,,,
Smoky Warbler,Phylloscopus fuligiventer,,,,,,,,,,,,,,
Buff-throated Warbler,Phylloscopus subaffinis,,,,,,,,,,,,,,
Common Chiffchaff,Phylloscopus collybita,,,,,,,,,,,,,,
Mountain Chiffchaff,Phylloscopus sindianus,,,,,,,,,,,,,,
Plain Leaf Warbler,Phylloscopus neglectus,,,,,,,,,,,,,,
Tytler's Leaf Warbler,Phylloscopus tytleri,,,,,,,,,,,,,,
Sulphur-bellied Warbler,Phylloscopus griseolus,,,,,,,,,,,,,,
Tickell's Leaf Warbler,Phylloscopus affinis,,,,,,,,,,,,,,
White-spectacled Warbler,Phylloscopus intermedius,,,,,,,,,,,,,,
Gray-cheeked Warbler,Phylloscopus poliogenys,,,,,,,,,,,,,,
Golden-spectacled Warbler,Phylloscopus burkii,,,,,,,,,,,,,,
Gray-crowned Warbler,Phylloscopus tephrocephalus,,,,,,,,,,,,,,
Whistler's Warbler,Phylloscopus whistleri,,,,,,,,,,,,,,
Chestnut-crowned Warbler,Phylloscopus castaniceps,,,,,,,,,,,,,,
Green Warbler,Phylloscopus nitidus,,,,,,,,,,,,,,
Greenish Warbler,Phylloscopus trochiloides,,,,,,,,,,,,,,
Two-barred Warbler,Phylloscopus plumbeitarsus,,,,,,,,,,,,,,
Arctic Warbler,Phylloscopus borealis,,,,,,,,,,,,,,
Pale-legged Leaf Warbler,Phylloscopus tenellipes,,,,,,,,,,,,,,
Large-billed Leaf Warbler,Phylloscopus magnirostris,,,,,,,,,,,,,,
Yellow-vented Warbler,Phylloscopus cantator,,,,,,,,,1,1,,,,
Claudia's Leaf Warbler,Phylloscopus claudiae,,,,,,,,,,,,,,
Blyth's Leaf Warbler,Phylloscopus reguloides,,,,,,,,,,,,,,
Western Crowned Warbler,Phylloscopus occipitalis,,,,,,,,,,,,,,
Gray-hooded Warbler,Phylloscopus xanthoschistos,,,,,,,,,,1,,,,
Slaty-bellied Tesia,Tesia olivea,,,,,,,,,,,,,,
Gray-bellied Tesia,Tesia cyaniventer,,,,,,,,,,,,,,
Chestnut-crowned Bush Warbler,Cettia major,,,,,,,,,,,,,,
Gray-sided Bush Warbler,Cettia brunnifrons,,,,,,,,,,,,,,
Chestnut-headed Tesia,Cettia castaneocoronata,,,,,,,,,,,,,,
Cetti's Warbler,Cettia cetti,,,,,,,,,,,,,,
Pale-footed Bush Warbler,Urosphena pallidipes,,,,,,,,,,,,,,
Asian Stubtail,Urosphena squameiceps,,,,,,,,,,,,,,
Yellow-bellied Warbler,Abroscopus superciliaris,,,,,,,,,,,,,,
Rufous-faced Warbler,Abroscopus albogularis,,,,,,,,,,,,,,
Black-faced Warbler,Abroscopus schisticeps,,,,,,,,,,,,,,
Mountain Tailorbird,Phyllergates cucullatus,,,,,,,,,,,,,,
Broad-billed Warbler,Tickellia hodgsoni,,,,,,,,,1,1,,,,
Brownish-flanked Bush Warbler,Horornis fortipes,,,,,,,,,,,,,,
Hume's Bush Warbler,Horornis brunnescens,,,,,,,,,,1,,,,
Aberrant Bush Warbler,Horornis flavolivaceus,,,,,,,,,,,,,,
Japanese Bush Warbler,Horornis diphone,,,,,,,,,,,,,,
White-browed Tit-Warbler,Leptopoecile sophiae,,,,,,,,,,,,,,
Crested Tit-Warbler,Leptopoecile elegans,,,,,,,,,,,,,,
Black-throated Tit,Aegithalos concinnus,,,,,,,,,,,,,,
White-cheeked Tit,Aegithalos leucogenys,,,,,,,,1,,1,,,,
White-throated Tit,Aegithalos niveogularis,,1,,,,,,1,,1,,,,
Black-browed Tit,Aegithalos iouschistos,,,,,,,,,,,,,,
Garden Warbler,Sylvia borin,,,,,,,,,,,,,,
Asian Desert Warbler,Sylvia nana,,,,,,,,,,,,,,
Barred Warbler,Sylvia nisoria,,,,,,,,,,,,,,
Eastern Orphean Warbler,Sylvia crassirostris,,,,,,,,,,,,,,
Desert Whitethroat,Sylvia minula,,,,,,,,,,,,,,
Hume's Whitethroat,Sylvia althaea,,,,,,,,,,,,,,
Lesser Whitethroat,Sylvia curruca,,,,,,,,,,,,,,
Greater Whitethroat,Sylvia communis,,,,,,,,,,,,,,
Fire-tailed Myzornis,Myzornis pyrrhoura,,,,,,,,,,1,,,,
Golden-breasted Fulvetta,Lioparus chrysotis,,,,,,,,,,,,,,
Yellow-eyed Babbler,Chrysomma sinense,,,,,,,,,,,,,,
Jerdon's Babbler,Chrysomma altirostre,,,,,,,,,,,,,,
White-browed Fulvetta,Fulvetta vinipectus,,,,,,,,,,,,,,
Ludlow's Fulvetta,Alcippe ludlowi,,,,,,,,,1,1,,,,
Streak-throated Fulvetta,Fulvetta manipurensis,,,,,,,,,,,,,,
Black-breasted Parrotbill,Paradoxornis flavirostris,,1,,,,,,,,,1,,,
Spot-breasted Parrotbill,Paradoxornis guttaticollis,,,,,,,,,,,,,,
White-breasted Parrotbill,Psittiparus ruficeps,,,,,,,,,1,1,,,,
Rufous-headed Parrotbill,Psittiparus bakeri,,,,,,,,,,,,,,
Gray-headed Parrotbill,Psittiparus gularis,,,,,,,,,,,,,,
Great Parrotbill,Conostoma aemodium,,,,,,,,,,,,,,
Brown Parrotbill,Cholornis unicolor,,,,,,,,,,,,,,
Fulvous Parrotbill,Suthora fulvifrons,,,,,,,,,,,,,,
Black-throated Parrotbill,Suthora nipalensis,,,,,,,,,,,,,,
Pale-billed Parrotbill,Chleuasicus atrosuperciliaris,,,,,,,,,,,,,,
Striated Yuhina,Yuhina castaniceps,,,,,,,,,,,,,,
Black-chinned Yuhina,Yuhina nigrimenta,,,,,,,,,,,,,,
Stripe-throated Yuhina,Yuhina gularis,,,,,,,,,,,,,,
Whiskered Yuhina,Yuhina flavicollis,,,,,,,,,,,,,,
Rufous-vented Yuhina,Yuhina occipitalis,,,,,,,,,1,1,,,,
White-naped Yuhina,Yuhina bakeri,,,,,,,,,1,1,,,,
Chestnut-flanked White-eye,Zosterops erythropleurus,,,,,,,,,,,,,,
Oriental White-eye,Zosterops palpebrosus,,,,,,,,,,,,,,
Rufous-throated Wren-Babbler,Spelaeornis caudatus,,1,,,,,,,1,1,,,,
Rusty-throated Wren-Babbler,Spelaeornis badeigularis,1,1,1,,,,,,1,1,,,,
Bar-winged Wren-Babbler,Spelaeornis troglodytoides,,,,,,,,,,,,,,
Long-tailed Wren-Babbler,Spelaeornis chocolatinus,1,1,1,,,,,,1,1,,,,
Chin Hills Wren-Babbler,Spelaeornis oatesi,,,,,,,,,,,,,,
Gray-bellied Wren-Babbler,Spelaeornis reptatus,,,,,,,,,,,,,,
Tawny-breasted Wren-Babbler,Spelaeornis longicaudatus,1,1,1,,,,,,1,1,,,,
Red-billed Scimitar-Babbler,Pomatorhinus ochraceiceps,,,,,,,,,,,,,,
Coral-billed Scimitar-Babbler,Pomatorhinus ferruginosus,,,,,,,,,,,,,,
Slender-billed Scimitar-Babbler,Pomatorhinus superciliaris,,,,,,,,,,,,,,
Indian Scimitar-Babbler,Pomatorhinus horsfieldii,1,1,1,,,,,,,,,,,
White-browed Scimitar-Babbler,Pomatorhinus schisticeps,,,,,,,,,,,,,,
Streak-breasted Scimitar-Babbler,Pomatorhinus ruficollis,,,,,,,,,,,,,,
Large Scimitar-Babbler,Megapomatorhinus hypoleucos,,,,,,,,,,,,,,
Rusty-cheeked Scimitar-Babbler,Megapomatorhinus erythrogenys,,,,,,,,,,,,,,
Spot-breasted Scimitar-Babbler,Megapomatorhinus mcclellandi,,,,,,,,,1,1,,,,
Gray-throated Babbler,Stachyris nigriceps,,,,,,,,,,,,,,
Blackish-breasted Babbler,Stachyris humei,,,,,,,,,1,1,,,,
Chevron-breasted Babbler,Stachyris roberti,,,,,,,,,1,1,,,,
Snowy-throated Babbler,Stachyris oglei,,,,,,,,,1,1,,,,
Tawny-bellied Babbler,Dumetia hyperythra,,1,,,,,,,,,,,,
Dark-fronted Babbler,Rhopocichla atriceps,,1,,,,,,,,,,,,
Chestnut-capped Babbler,Timalia pileata,,,,,,,,,,,,,,
Pin-striped Tit-Babbler,Mixornis gularis,,,,,,,,,,,,,,
Golden Babbler,Cyanoderma chrysaeum,,,,,,,,,,,,,,
Black-chinned Babbler,Cyanoderma pyrrhops,,,,,,,,,,1,,,,
Rufous-capped Babbler,Cyanoderma ruficeps,,,,,,,,,,,,,,
Buff-chested Babbler,Cyanoderma ambiguum,,,,,,,,,,,,,,
White-hooded Babbler,Gampsorhynchus rufulus,,,,,,,,,,,,,,
Rusty-capped Fulvetta,Schoeniparus dubius,,,,,,,,,,,,,,
Rufous-throated Fulvetta,Schoeniparus rufogularis,,,,,,,,,,,,,,
Yellow-throated Fulvetta,Schoeniparus cinereus,,,,,,,,,1,1,,,,
Rufous-winged Fulvetta,Schoeniparus castaneceps,,,,,,,,,,,,,,
Rufous-vented Prinia,Laticilla burnesii,,1,,,,,,,,,,1,,
Swamp Prinia,Laticilla cinerascens,,1,,,,,,,,,1,,,
Puff-throated Babbler,Pellorneum ruficeps,,,,,,,,,,,,,,
Marsh Babbler,Pellorneum palustre,,1,,,,,,,,,1,,,
Spot-throated Babbler,Pellorneum albiventre,,,,,,,,,,,,,,
Buff-breasted Babbler,Pellorneum tickelli,,,,,,,,,,,,,,
Abbott's Babbler,Turdinus abbotti,,,,,,,,,,,,,,
Streaked Wren-Babbler,Turdinus brevicaudatus,,,,,,,,,,,,,,
Eyebrowed Wren-Babbler,Napothera epilepidota,,,,,,,,,,,,,,
Long-billed Wren-Babbler,Napothera malacoptila,,,,,,,,,1,1,,,,
Indian Grassbird,Graminicola bengalensis,,1,,,,,,,,,,,,
Brown-cheeked Fulvetta,Alcippe poioicephala,,,,,,,,,,,,,,
Nepal Fulvetta,Alcippe nipalensis,,,,,,,,,,,,,,
Striated Laughingthrush,Grammatoptila striata,,,,,,,,,,1,,,,
Himalayan Cutia,Cutia nipalensis,,,,,,,,,,,,,,
Large Gray Babbler,Turdoides malcolmi,,1,,,,,,,,,,,,
Rufous Babbler,Turdoides subrufa,1,1,1,1,,,,,,,,,,
Striated Babbler,Turdoides earlei,,,,,,,,,,,,,,
Common Babbler,Turdoides caudata,,1,,,,,,,,,,,,
Slender-billed Babbler,Turdoides longirostris,,1,,,,,,,,,,,,
Jungle Babbler,Turdoides striata,,1,,,,,,,,,,,,
Yellow-billed Babbler,Turdoides affinis,,1,,,,,,,,,,,,
Spot-breasted Laughingthrush,Garrulax merulinus,,,,,,,,,1,1,,,,
Lesser Necklaced Laughingthrush,Garrulax monileger,,,,,,,,,,,,,,
White-crested Laughingthrush,Garrulax leucolophus,,,,,,,,,,,,,,
Spotted Laughingthrush,Ianthocincla ocellata,,,,,,,,,,,,,,
Moustached Laughingthrush,Ianthocincla cineracea,,,,,,,,,1,1,,,,
Rufous-chinned Laughingthrush,Ianthocincla rufogularis,,,,,,,,,,1,,,,
White-browed Laughingthrush,Ianthocincla sannio,,,,,,,,,,,,,,
Chestnut-backed Laughingthrush,Ianthocincla nuchalis,,,,,,,,,1,1,,,,
Greater Necklaced Laughingthrush,Ianthocincla pectoralis,,,,,,,,,,,,,,
Chinese Babax,Ianthocincla lanceolata,,,,,,,,,,,,,,
White-throated Laughingthrush,Ianthocincla albogularis,,,,,,,,,,,,,,
Gray-sided Laughingthrush,Ianthocincla caerulata,,,,,,,,,1,1,,,,
Rufous-necked Laughingthrush,Ianthocincla ruficollis,,,,,,,,,,,,,,
Yellow-throated Laughingthrush,Ianthocincla galbana,,,,,,,,,1,1,,,,
Wynaad Laughingthrush,Ianthocincla delesserti,1,1,1,1,,,,,,,,,,
Rufous-vented Laughingthrush,Ianthocincla gularis,,,,,,,,,1,1,,,,
Scaly Laughingthrush,Trochalopteron subunicolor,,,,,,,,,,,,,,
Brown-capped Laughingthrush,Trochalopteron austeni,,,,,,,,,1,1,,,,
Blue-winged Laughingthrush,Trochalopteron squamatum,,,,,,,,,1,1,,,,
Streaked Laughingthrush,Trochalopteron lineatum,,,,,,,,,,1,,,,
Bhutan Laughingthrush,Trochalopteron imbricatum,,,,,,,,,1,1,,,,
Striped Laughingthrush,Trochalopteron virgatum,,,,,,,,,1,1,,,,
Variegated Laughingthrush,Trochalopteron variegatum,,,,,,,,,,1,,,,
Black-faced Laughingthrush,Trochalopteron affine,,,,,,,,,,,,,,
Elliot's Laughingthrush,Trochalopteron elliotii,,,,,,,,,,,,,,
Chestnut-crowned Laughingthrush,Trochalopteron erythrocephalum,,,,,,,,,,1,,,,
Assam Laughingthrush,Trochalopteron chrysopterum,,,,,,,,,1,1,,,,
Banasura Laughingthrush,Montecincla jerdoni,1,1,1,1,,,,,,,,,,
Nilgiri Laughingthrush,Montecincla cachinnans,1,1,1,1,,,,,,,,,,
Palani Laughingthrush,Montecincla fairbanki,1,1,1,1,,,,,,,,,,
Ashambu Laughingthrush,Montecincla meridionalis,1,1,1,1,,,,,,,,,,
Long-tailed Sibia,Heterophasia picaoides,,,,,,,,,,,,,,
Beautiful Sibia,Heterophasia pulchella,,,,,,,,,1,1,,,,
Rufous Sibia,Heterophasia capistrata,,,,,,,,,,1,,,,
Gray Sibia,Heterophasia gracilis,,,,,,,,,1,1,,,,
Silver-eared Mesia,Leiothrix argentauris,,,,,,,,,,,,,,
Red-billed Leiothrix,Leiothrix lutea,,,,,,,,,,,,,,
Rufous-backed Sibia,Minla annectens,,,,,,,,,,,,,,
Red-tailed Minla,Minla ignotincta,,,,,,,,,,,,,,
Red-faced Liocichla,Liocichla phoenicea,,,,,,,,,,,,,,
Bugun Liocichla,Liocichla bugunorum,1,1,1,,,,,,1,1,,,,
Hoary-throated Barwing,Actinodura nipalensis,,,,,,,,,1,1,,,,
Streak-throated Barwing,Actinodura waldeni,,,,,,,,,1,1,,,,
Blue-winged Minla,Actinodura cyanouroptera,,,,,,,,,,,,,,
Chestnut-tailed Minla,Actinodura strigula,,,,,,,,,,,,,,
Rusty-fronted Barwing,Actinodura egertoni,,,,,,,,,1,1,,,,
Goldcrest,Regulus regulus,,,,,,,,,,,,,,
