Time Bands,Frequency,SE,Species
2018,0.316212835,0.018422461,Laughing Dove
before 2000,NA,NA,Legge's Hawk-Eagle
2000-2006,NA,NA,Legge's Hawk-Eagle
2007-2010,NA,NA,Legge's Hawk-Eagle
2011-2012,NA,NA,Legge's Hawk-Eagle
2013,NA,NA,Legge's Hawk-Eagle
2014,NA,NA,Legge's Hawk-Eagle
2015,NA,NA,Legge's Hawk-Eagle
2016,NA,NA,Legge's Hawk-Eagle
2017,NA,NA,Legge's Hawk-Eagle
2018,NA,NA,Legge's Hawk-Eagle
before 2000,0.057099256,0.012394369,Lesser Adjutant
2000-2006,0.05429917,0.012012999,Lesser Adjutant
2007-2010,0.079165458,0.016912953,Lesser Adjutant
2011-2012,0.078322605,0.016715722,Lesser Adjutant
2013,0.05473438,0.011485587,Lesser Adjutant
2014,0.044162911,0.009193193,Lesser Adjutant
2015,0.042440181,0.008807647,Lesser Adjutant
2016,0.043813789,0.009083812,Lesser Adjutant
2017,0.042134494,0.008720903,Lesser Adjutant
2018,0.042739968,0.008839632,Lesser Adjutant
before 2000,0.02378367,0.007512803,Lesser Black-backed Gull
2000-2006,0.024176717,0.00753771,Lesser Black-backed Gull
2007-2010,0.026999734,0.008346363,Lesser Black-backed Gull
2011-2012,0.030840743,0.009606199,Lesser Black-backed Gull
2013,0.017130626,0.005372487,Lesser Black-backed Gull
2014,0.012037369,0.003684152,Lesser Black-backed Gull
2015,0.015427876,0.004699105,Lesser Black-backed Gull
2016,0.011857855,0.003618589,Lesser Black-backed Gull
2017,0.014991233,0.004551863,Lesser Black-backed Gull
2018,0.013251907,0.004032405,Lesser Black-backed Gull
before 2000,NA,NA,Lesser Coucal
2000-2006,NA,NA,Lesser Coucal
2007-2010,NA,NA,Lesser Coucal
2011-2012,NA,NA,Lesser Coucal
2013,NA,NA,Lesser Coucal
2014,0.030719916,0.007768628,Lesser Coucal
2015,0.038499208,0.009656941,Lesser Coucal
2016,0.049306066,0.012120734,Lesser Coucal
2017,0.04508476,0.01118007,Lesser Coucal
2018,0.04758088,0.011743963,Lesser Coucal
before 2000,NA,NA,Lesser Crested Tern
2000-2006,NA,NA,Lesser Crested Tern
2007-2010,NA,NA,Lesser Crested Tern
2011-2012,NA,NA,Lesser Crested Tern
2013,NA,NA,Lesser Crested Tern
2014,0.011346401,0.008434436,Lesser Crested Tern
2015,0.015705329,0.011667905,Lesser Crested Tern
2016,0.014727367,0.010915973,Lesser Crested Tern
2017,0.018557972,0.013736654,Lesser Crested Tern
2018,0.012326888,0.009173894,Lesser Crested Tern
before 2000,NA,NA,Lesser Cuckoo
2000-2006,NA,NA,Lesser Cuckoo
2007-2010,NA,NA,Lesser Cuckoo
2011-2012,NA,NA,Lesser Cuckoo
2013,NA,NA,Lesser Cuckoo
2014,0.052037782,0.026690824,Lesser Cuckoo
2015,0.010678015,0.005600023,Lesser Cuckoo
2016,0.041528071,0.021238311,Lesser Cuckoo
2017,0.025278981,0.012966027,Lesser Cuckoo
2018,0.01710829,0.008752881,Lesser Cuckoo
before 2000,NA,NA,Lesser Fish-Eagle
2000-2006,NA,NA,Lesser Fish-Eagle
2007-2010,NA,NA,Lesser Fish-Eagle
2011-2012,NA,NA,Lesser Fish-Eagle
2013,NA,NA,Lesser Fish-Eagle
2014,0.003360525,0.000686823,Lesser Fish-Eagle
2015,0.002976847,0.000596609,Lesser Fish-Eagle
2016,0.002321227,0.000462227,Lesser Fish-Eagle
2017,0.002708638,0.000532648,Lesser Fish-Eagle
2018,0.002476019,0.000484792,Lesser Fish-Eagle
before 2000,NA,NA,Lesser Flamingo
2000-2006,NA,NA,Lesser Flamingo
2007-2010,NA,NA,Lesser Flamingo
2011-2012,NA,NA,Lesser Flamingo
2013,NA,NA,Lesser Flamingo
2014,0.05517518,0.020028935,Lesser Flamingo
2015,0.048144295,0.017588136,Lesser Flamingo
2016,0.047128958,0.01701161,Lesser Flamingo
2017,0.01918271,0.007008562,Lesser Flamingo
2018,0.07824218,0.027915764,Lesser Flamingo
before 2000,NA,NA,Lesser Florican
2000-2006,NA,NA,Lesser Florican
2007-2010,NA,NA,Lesser Florican
2011-2012,NA,NA,Lesser Florican
2013,NA,NA,Lesser Florican
2014,NA,NA,Lesser Florican
2015,NA,NA,Lesser Florican
2016,NA,NA,Lesser Florican
2017,NA,NA,Lesser Florican
2018,NA,NA,Lesser Florican
before 2000,NA,NA,Lesser Necklaced Laughingthrush
2000-2006,NA,NA,Lesser Necklaced Laughingthrush
2007-2010,NA,NA,Lesser Necklaced Laughingthrush
2011-2012,NA,NA,Lesser Necklaced Laughingthrush
2013,NA,NA,Lesser Necklaced Laughingthrush
2014,0.035153837,0.02683836,Lesser Necklaced Laughingthrush
2015,0.039317713,0.029992491,Lesser Necklaced Laughingthrush
2016,0.061746474,0.046346295,Lesser Necklaced Laughingthrush
2017,0.042742329,0.032768586,Lesser Necklaced Laughingthrush
2018,0.03895371,0.029494281,Lesser Necklaced Laughingthrush
before 2000,0.041984086,0.011238006,Lesser Racket-tailed Drongo
2000-2006,0.048854887,0.013242693,Lesser Racket-tailed Drongo
2007-2010,0.084313005,0.02054858,Lesser Racket-tailed Drongo
2011-2012,0.035447165,0.009641386,Lesser Racket-tailed Drongo
2013,0.043914645,0.011107311,Lesser Racket-tailed Drongo
2014,0.043780207,0.010640224,Lesser Racket-tailed Drongo
2015,0.038075129,0.009114853,Lesser Racket-tailed Drongo
2016,0.035804454,0.008605097,Lesser Racket-tailed Drongo
2017,0.0294241,0.00703595,Lesser Racket-tailed Drongo
2018,0.032218165,0.007679083,Lesser Racket-tailed Drongo
before 2000,0.120783857,0.02487395,Lesser Sand-Plover
2000-2006,0.054956615,0.011813386,Lesser Sand-Plover
2007-2010,0.058543185,0.012452616,Lesser Sand-Plover
2011-2012,0.056587802,0.011959236,Lesser Sand-Plover
2013,0.054600344,0.011344204,Lesser Sand-Plover
2014,0.042476462,0.008867896,Lesser Sand-Plover
2015,0.040639782,0.008438993,Lesser Sand-Plover
2016,0.033969974,0.007059816,Lesser Sand-Plover
2017,0.034299602,0.007098062,Lesser Sand-Plover
2018,0.0332484,0.0068615,Lesser Sand-Plover
before 2000,NA,NA,Lesser Shortwing
2000-2006,NA,NA,Lesser Shortwing
2007-2010,NA,NA,Lesser Shortwing
2011-2012,NA,NA,Lesser Shortwing
2013,NA,NA,Lesser Shortwing
2014,0.101441494,0.142916862,Lesser Shortwing
2015,0.049577775,0.073387707,Lesser Shortwing
2016,0.119192973,0.162156141,Lesser Shortwing
2017,0.073431733,0.106004218,Lesser Shortwing
2018,0.098156472,0.137403433,Lesser Shortwing
before 2000,0.12209051,0.008978475,Lesser Whistling-Duck
2000-2006,0.124994678,0.009374434,Lesser Whistling-Duck
2007-2010,0.155159176,0.010627959,Lesser Whistling-Duck
2011-2012,0.201630454,0.012975298,Lesser Whistling-Duck
2013,0.183130914,0.011330546,Lesser Whistling-Duck
2014,0.1471994,0.008961865,Lesser Whistling-Duck
2015,0.133390867,0.007955997,Lesser Whistling-Duck
2016,0.132399201,0.007961923,Lesser Whistling-Duck
2017,0.130331564,0.007799434,Lesser Whistling-Duck
2018,0.127716007,0.00769948,Lesser Whistling-Duck
before 2000,0.101640209,0.02160142,Lesser Whitethroat
2000-2006,0.089823537,0.019112807,Lesser Whitethroat
2007-2010,0.05855844,0.012466264,Lesser Whitethroat
2011-2012,0.054222706,0.011517111,Lesser Whitethroat
2013,0.058374726,0.012275719,Lesser Whitethroat
2014,0.050510124,0.010429105,Lesser Whitethroat
2015,0.044107292,0.009081536,Lesser Whitethroat
2016,0.057403932,0.011807203,Lesser Whitethroat
2017,0.058121059,0.011926638,Lesser Whitethroat
2018,0.053236891,0.010901175,Lesser Whitethroat
before 2000,0.035041607,0.004581808,Lesser Yellownape
2000-2006,0.034862525,0.004567648,Lesser Yellownape
2007-2010,0.043602773,0.005396946,Lesser Yellownape
2011-2012,0.039444742,0.005122493,Lesser Yellownape
2013,0.031780636,0.003873801,Lesser Yellownape
2014,0.026847079,0.003101356,Lesser Yellownape
2015,0.025086221,0.002803379,Lesser Yellownape
2016,0.025158683,0.002834753,Lesser Yellownape
2017,0.031939505,0.003529175,Lesser Yellownape
2018,0.028890967,0.003164371,Lesser Yellownape
before 2000,0.139586645,0.021653437,Lineated Barbet
2000-2006,0.118793825,0.019539879,Lineated Barbet
2007-2010,0.141050041,0.021280592,Lineated Barbet
2011-2012,0.139152826,0.021438773,Lineated Barbet
2013,0.107099348,0.016031714,Lineated Barbet
2014,0.131886516,0.01847151,Lineated Barbet
2015,0.122367223,0.016801588,Lineated Barbet
2016,0.133917756,0.018083747,Lineated Barbet
2017,0.123210396,0.016538331,Lineated Barbet
2018,0.114427918,0.015533927,Lineated Barbet
before 2000,0.20989029,0.010448948,Little Cormorant
2000-2006,0.285291296,0.013318374,Little Cormorant
2007-2010,0.316408918,0.013329564,Little Cormorant
2011-2012,0.334511559,0.01439253,Little Cormorant
2013,0.343028604,0.013902404,Little Cormorant
2014,0.326631282,0.012471837,Little Cormorant
2015,0.296763514,0.0113874,Little Cormorant
2016,0.261871286,0.01041128,Little Cormorant
2017,0.268349646,0.010523574,Little Cormorant
2018,0.259964089,0.010197735,Little Cormorant
before 2000,0.289044479,0.013257052,Little Egret
2000-2006,0.273044599,0.012718124,Little Egret
2007-2010,0.302235694,0.013304602,Little Egret
2011-2012,0.30197336,0.013363286,Little Egret
2013,0.308965852,0.0125419,Little Egret
2014,0.29480802,0.011540238,Little Egret
2015,0.256788503,0.010187272,Little Egret
2016,0.234893825,0.009440597,Little Egret
2017,0.236227636,0.009518741,Little Egret
2018,0.224172076,0.008976348,Little Egret
before 2000,0.051289704,0.013338845,Little Forktail
2000-2006,0.034680691,0.009219535,Little Forktail
2007-2010,0.036311719,0.009218215,Little Forktail
2011-2012,0.039645995,0.010150115,Little Forktail
2013,0.043787432,0.011013158,Little Forktail
2014,0.03760992,0.008869122,Little Forktail
2015,0.036692809,0.00852111,Little Forktail
2016,0.032119576,0.007469154,Little Forktail
2017,0.030907826,0.007111885,Little Forktail
2018,0.03600303,0.008265418,Little Forktail
before 2000,0.127621041,0.008624893,Little Grebe
2000-2006,0.134906857,0.009026344,Little Grebe
2007-2010,0.163083256,0.009863444,Little Grebe
2011-2012,0.169856015,0.010453584,Little Grebe
2013,0.172605638,0.010011223,Little Grebe
2014,0.139096518,0.007820442,Little Grebe
2015,0.11805962,0.006616652,Little Grebe
2016,0.115809703,0.006537337,Little Grebe
2017,0.101236445,0.005723902,Little Grebe
2018,0.107983744,0.006031798,Little Grebe
before 2000,0.090142945,0.024250352,Little Pied Flycatcher
2000-2006,0.063760701,0.017745154,Little Pied Flycatcher
2007-2010,0.06652599,0.018415886,Little Pied Flycatcher
2011-2012,0.073651107,0.019801851,Little Pied Flycatcher
2013,0.046993022,0.012779698,Little Pied Flycatcher
2014,0.044778264,0.011731798,Little Pied Flycatcher
2015,0.032422159,0.008508257,Little Pied Flycatcher
2016,0.047308347,0.012222195,Little Pied Flycatcher
2017,0.040359187,0.010449058,Little Pied Flycatcher
2018,0.042782627,0.010940505,Little Pied Flycatcher
before 2000,0.119433921,0.008825048,Little Ringed Plover
2000-2006,0.086763179,0.006881978,Little Ringed Plover
2007-2010,0.080254484,0.00604461,Little Ringed Plover
2011-2012,0.070934192,0.005378155,Little Ringed Plover
2013,0.071243777,0.005171108,Little Ringed Plover
2014,0.062258353,0.004268404,Little Ringed Plover
2015,0.05662659,0.003821442,Little Ringed Plover
2016,0.059824885,0.003968769,Little Ringed Plover
2017,0.050213573,0.003379322,Little Ringed Plover
2018,0.050984426,0.00339125,Little Ringed Plover
before 2000,0.114052367,0.018352865,Little Spiderhunter
2000-2006,0.1174068,0.01857001,Little Spiderhunter
2007-2010,0.082331505,0.01329024,Little Spiderhunter
2011-2012,0.037858917,0.006441683,Little Spiderhunter
2013,0.055003105,0.008841974,Little Spiderhunter
2014,0.037634202,0.005953221,Little Spiderhunter
2015,0.032804949,0.005235209,Little Spiderhunter
2016,0.034112889,0.005370634,Little Spiderhunter
2017,0.032703716,0.005162398,Little Spiderhunter
2018,0.029483946,0.004625879,Little Spiderhunter
before 2000,0.087334268,0.010169677,Little Stint
2000-2006,0.071162854,0.008387888,Little Stint
2007-2010,0.050808562,0.005941809,Little Stint
2011-2012,0.045541117,0.005409138,Little Stint
2013,0.040981364,0.004745473,Little Stint
2014,0.031327115,0.003515127,Little Stint
2015,0.025648821,0.002825281,Little Stint
2016,0.035639915,0.003873027,Little Stint
2017,0.02534127,0.002797019,Little Stint
2018,0.028498994,0.003109086,Little Stint
before 2000,0.20890355,0.012151553,Little Swift
2000-2006,0.165452155,0.010017859,Little Swift
2007-2010,0.138496459,0.008338757,Little Swift
2011-2012,0.088599197,0.005983166,Little Swift
2013,0.086856658,0.005288324,Little Swift
2014,0.092377162,0.00508525,Little Swift
2015,0.097329406,0.005141422,Little Swift
2016,0.102379687,0.005337032,Little Swift
2017,0.11127158,0.005792067,Little Swift
2018,0.114390741,0.005898005,Little Swift
before 2000,0.08918089,0.022363675,Little Tern
2000-2006,0.0731255,0.019017833,Little Tern
2007-2010,0.068603658,0.017488785,Little Tern
2011-2012,0.046192601,0.012125673,Little Tern
2013,0.035054481,0.009113147,Little Tern
2014,0.029934618,0.007777151,Little Tern
2015,0.024789805,0.006442555,Little Tern
2016,0.027445255,0.007057549,Little Tern
2017,0.02658846,0.006815901,Little Tern
2018,0.021977769,0.00567065,Little Tern
before 2000,NA,NA,Long-billed Pipit
2000-2006,NA,NA,Long-billed Pipit
2007-2010,NA,NA,Long-billed Pipit
2011-2012,NA,NA,Long-billed Pipit
2013,NA,NA,Long-billed Pipit
2014,0.016022639,0.003833551,Long-billed Pipit
2015,0.010842409,0.002618327,Long-billed Pipit
2016,0.013322531,0.003092169,Long-billed Pipit
2017,0.017538501,0.003996573,Long-billed Pipit
2018,0.012471691,0.002868762,Long-billed Pipit
before 2000,0.055787613,0.007632181,Long-billed Sunbird
2000-2006,0.033164053,0.00495781,Long-billed Sunbird
2007-2010,0.040664362,0.005560347,Long-billed Sunbird
2011-2012,0.04751952,0.00680198,Long-billed Sunbird
2013,0.039631875,0.005260658,Long-billed Sunbird
2014,0.036089302,0.004486939,Long-billed Sunbird
2015,0.032882667,0.004082367,Long-billed Sunbird
2016,0.032733155,0.004017746,Long-billed Sunbird
2017,0.040890114,0.004976396,Long-billed Sunbird
2018,0.036925208,0.00451731,Long-billed Sunbird
before 2000,NA,NA,Long-billed Thrush
2000-2006,NA,NA,Long-billed Thrush
2007-2010,NA,NA,Long-billed Thrush
2011-2012,NA,NA,Long-billed Thrush
2013,NA,NA,Long-billed Thrush
2014,0.013270465,0.013159254,Long-billed Thrush
2015,0.017700939,0.017202688,Long-billed Thrush
2016,0.012513774,0.012524526,Long-billed Thrush
2017,0.00831967,0.008326332,Long-billed Thrush
2018,0.012206351,0.01209401,Long-billed Thrush
before 2000,NA,NA,Long-billed Wren-Babbler
2000-2006,NA,NA,Long-billed Wren-Babbler
2007-2010,NA,NA,Long-billed Wren-Babbler
2011-2012,NA,NA,Long-billed Wren-Babbler
2013,NA,NA,Long-billed Wren-Babbler
2014,NA,NA,Long-billed Wren-Babbler
2015,NA,NA,Long-billed Wren-Babbler
2016,NA,NA,Long-billed Wren-Babbler
2017,NA,NA,Long-billed Wren-Babbler
2018,NA,NA,Long-billed Wren-Babbler
before 2000,0.067244907,0.017559551,Long-legged Buzzard
2000-2006,0.057899621,0.015267748,Long-legged Buzzard
2007-2010,0.078922,0.019882354,Long-legged Buzzard
2011-2012,0.055963493,0.014223494,Long-legged Buzzard
2013,0.049886047,0.012728914,Long-legged Buzzard
2014,0.05246135,0.01280218,Long-legged Buzzard
2015,0.033235353,0.00808601,Long-legged Buzzard
2016,0.037214353,0.009010505,Long-legged Buzzard
2017,0.043626943,0.010603494,Long-legged Buzzard
2018,0.05138629,0.012330718,Long-legged Buzzard
before 2000,NA,NA,Long-tailed Broadbill
2000-2006,NA,NA,Long-tailed Broadbill
2007-2010,NA,NA,Long-tailed Broadbill
2011-2012,NA,NA,Long-tailed Broadbill
2013,NA,NA,Long-tailed Broadbill
2014,0.048170179,0.017788346,Long-tailed Broadbill
2015,0.068875598,0.024620602,Long-tailed Broadbill
2016,0.056315957,0.020266368,Long-tailed Broadbill
2017,0.068214878,0.024169217,Long-tailed Broadbill
2018,0.05155608,0.018439384,Long-tailed Broadbill
before 2000,0.089615622,0.014231582,Long-tailed Minivet
2000-2006,0.095592125,0.015214502,Long-tailed Minivet
2007-2010,0.079339757,0.012393521,Long-tailed Minivet
2011-2012,0.08836385,0.01345334,Long-tailed Minivet
2013,0.086008903,0.013129531,Long-tailed Minivet
2014,0.074770905,0.011017745,Long-tailed Minivet
2015,0.0663322,0.009629621,Long-tailed Minivet
2016,0.048124302,0.007084421,Long-tailed Minivet
2017,0.05621863,0.008199767,Long-tailed Minivet
2018,0.063572115,0.00917249,Long-tailed Minivet
before 2000,NA,NA,Long-tailed Parakeet
2000-2006,NA,NA,Long-tailed Parakeet
2007-2010,NA,NA,Long-tailed Parakeet
2011-2012,NA,NA,Long-tailed Parakeet
2013,NA,NA,Long-tailed Parakeet
2014,0.183413462,0.039112926,Long-tailed Parakeet
2015,0.314699966,0.051223389,Long-tailed Parakeet
2016,0.329147743,0.049189928,Long-tailed Parakeet
2017,0.237968571,0.037268855,Long-tailed Parakeet
2018,0.239212128,0.037676902,Long-tailed Parakeet
before 2000,0.138131035,0.009295821,Long-tailed Shrike
2000-2006,0.114163274,0.007859853,Long-tailed Shrike
2007-2010,0.12146603,0.008061869,Long-tailed Shrike
2011-2012,0.116955853,0.007648338,Long-tailed Shrike
2013,0.124515562,0.007650618,Long-tailed Shrike
2014,0.137452937,0.008305457,Long-tailed Shrike
2015,0.120607701,0.007164889,Long-tailed Shrike
2016,0.111897702,0.006643109,Long-tailed Shrike
2017,0.110765365,0.006605616,Long-tailed Shrike
2018,0.112903482,0.006700429,Long-tailed Shrike
before 2000,NA,NA,Long-tailed Thrush
2000-2006,NA,NA,Long-tailed Thrush
2007-2010,NA,NA,Long-tailed Thrush
2011-2012,NA,NA,Long-tailed Thrush
2013,NA,NA,Long-tailed Thrush
2014,NA,NA,Long-tailed Thrush
2015,NA,NA,Long-tailed Thrush
2016,NA,NA,Long-tailed Thrush
2017,NA,NA,Long-tailed Thrush
2018,NA,NA,Long-tailed Thrush
before 2000,NA,NA,Long-tailed Wren-Babbler
2000-2006,NA,NA,Long-tailed Wren-Babbler
2007-2010,NA,NA,Long-tailed Wren-Babbler
2011-2012,NA,NA,Long-tailed Wren-Babbler
2013,NA,NA,Long-tailed Wren-Babbler
2014,NA,NA,Long-tailed Wren-Babbler
2015,NA,NA,Long-tailed Wren-Babbler
2016,NA,NA,Long-tailed Wren-Babbler
2017,NA,NA,Long-tailed Wren-Babbler
2018,NA,NA,Long-tailed Wren-Babbler
before 2000,NA,NA,Ludlow's Fulvetta
2000-2006,NA,NA,Ludlow's Fulvetta
2007-2010,NA,NA,Ludlow's Fulvetta
2011-2012,NA,NA,Ludlow's Fulvetta
2013,NA,NA,Ludlow's Fulvetta
2014,0.046854605,0.024438964,Ludlow's Fulvetta
2015,0.02980134,0.015264323,Ludlow's Fulvetta
2016,0.046689172,0.023862555,Ludlow's Fulvetta
2017,0.047001742,0.023569243,Ludlow's Fulvetta
2018,0.036676525,0.01849546,Ludlow's Fulvetta
before 2000,0.026772908,0.006240967,Malabar Barbet
2000-2006,0.015700057,0.003768572,Malabar Barbet
2007-2010,0.021889327,0.005092352,Malabar Barbet
2011-2012,0.014331347,0.003456047,Malabar Barbet
2013,0.019513502,0.004462014,Malabar Barbet
2014,0.015573922,0.003532335,Malabar Barbet
2015,0.011702923,0.002619589,Malabar Barbet
2016,0.011411055,0.002579157,Malabar Barbet
2017,0.014207067,0.003188919,Malabar Barbet
2018,0.010128737,0.00228474,Malabar Barbet
before 2000,0.057082516,0.014488835,Malabar Gray Hornbill
2000-2006,0.046136102,0.011672647,Malabar Gray Hornbill
2007-2010,0.040885915,0.010248009,Malabar Gray Hornbill
2011-2012,0.03968454,0.010277327,Malabar Gray Hornbill
2013,0.028255574,0.007111195,Malabar Gray Hornbill
2014,0.0229028,0.005705078,Malabar Gray Hornbill
2015,0.021170389,0.005249285,Malabar Gray Hornbill
2016,0.018799756,0.004675188,Malabar Gray Hornbill
2017,0.023261142,0.005770563,Malabar Gray Hornbill
2018,0.018960949,0.00470252,Malabar Gray Hornbill
before 2000,0.027902674,0.006719289,Malabar Lark
2000-2006,0.023268305,0.005623023,Malabar Lark
2007-2010,0.015852636,0.003975188,Malabar Lark
2011-2012,0.018782081,0.004628002,Malabar Lark
2013,0.011166761,0.002747579,Malabar Lark
2014,0.017395473,0.003983953,Malabar Lark
2015,0.010918022,0.002504768,Malabar Lark
2016,0.013624182,0.00308397,Malabar Lark
2017,0.012972461,0.002976116,Malabar Lark
2018,0.011217139,0.00256074,Malabar Lark
before 2000,0.031317073,0.007495651,Malabar Parakeet
2000-2006,0.029631146,0.00703726,Malabar Parakeet
2007-2010,0.025631729,0.006098772,Malabar Parakeet
2011-2012,0.023354537,0.005541645,Malabar Parakeet
2013,0.021253276,0.004983237,Malabar Parakeet
2014,0.016492005,0.00383757,Malabar Parakeet
2015,0.013477887,0.003114324,Malabar Parakeet
2016,0.013274601,0.00305751,Malabar Parakeet
2017,0.01505121,0.003476149,Malabar Parakeet
2018,0.013154917,0.003034301,Malabar Parakeet
before 2000,0.033131266,0.007982742,Malabar Pied-Hornbill
2000-2006,0.036093779,0.008378856,Malabar Pied-Hornbill
2007-2010,0.056231086,0.012978487,Malabar Pied-Hornbill
2011-2012,0.050475689,0.011627997,Malabar Pied-Hornbill
2013,0.040150339,0.009105303,Malabar Pied-Hornbill
2014,0.051028984,0.011240601,Malabar Pied-Hornbill
2015,0.033960738,0.007518313,Malabar Pied-Hornbill
2016,0.037099307,0.008152804,Malabar Pied-Hornbill
2017,0.036109011,0.007924787,Malabar Pied-Hornbill
2018,0.034386854,0.00754089,Malabar Pied-Hornbill
before 2000,NA,NA,Malabar Starling
2000-2006,NA,NA,Malabar Starling
2007-2010,NA,NA,Malabar Starling
2011-2012,NA,NA,Malabar Starling
2013,NA,NA,Malabar Starling
2014,0.011464106,0.002224523,Malabar Starling
2015,0.011845705,0.002273751,Malabar Starling
2016,0.011272538,0.002155927,Malabar Starling
2017,0.011300203,0.002153683,Malabar Starling
2018,0.012971606,0.002470785,Malabar Starling
before 2000,0.027476111,0.005802021,Malabar Trogon
2000-2006,0.025513705,0.005347554,Malabar Trogon
2007-2010,0.035445399,0.007122129,Malabar Trogon
2011-2012,0.033591554,0.006874222,Malabar Trogon
2013,0.016175769,0.003268678,Malabar Trogon
2014,0.016041227,0.003110269,Malabar Trogon
2015,0.01127815,0.002176217,Malabar Trogon
2016,0.014091539,0.002711848,Malabar Trogon
2017,0.013313461,0.002575282,Malabar Trogon
2018,0.011583226,0.00222819,Malabar Trogon
before 2000,0.048305336,0.008947224,Malabar Whistling-Thrush
2000-2006,0.03334319,0.006243791,Malabar Whistling-Thrush
2007-2010,0.048601445,0.008667683,Malabar Whistling-Thrush
2011-2012,0.031310611,0.00586276,Malabar Whistling-Thrush
2013,0.028802826,0.005122034,Malabar Whistling-Thrush
2014,0.031351128,0.005391252,Malabar Whistling-Thrush
2015,0.026556426,0.00459108,Malabar Whistling-Thrush
2016,0.023391505,0.004042017,Malabar Whistling-Thrush
2017,0.028417928,0.004887239,Malabar Whistling-Thrush
2018,0.025022024,0.004325344,Malabar Whistling-Thrush
before 2000,0.017950633,0.003238973,Malabar Woodshrike
2000-2006,0.012159707,0.00219929,Malabar Woodshrike
2007-2010,0.012725394,0.002233705,Malabar Woodshrike
2011-2012,0.00868773,0.00161589,Malabar Woodshrike
2013,0.007675638,0.001323031,Malabar Woodshrike
2014,0.006189589,0.001021269,Malabar Woodshrike
2015,0.006147067,0.000980967,Malabar Woodshrike
2016,0.005408853,0.000869715,Malabar Woodshrike
2017,0.005199921,0.000837137,Malabar Woodshrike
2018,0.005580594,0.00089462,Malabar Woodshrike
before 2000,NA,NA,Malayan Night-Heron
2000-2006,NA,NA,Malayan Night-Heron
2007-2010,NA,NA,Malayan Night-Heron
2011-2012,NA,NA,Malayan Night-Heron
2013,NA,NA,Malayan Night-Heron
2014,NA,NA,Malayan Night-Heron
2015,NA,NA,Malayan Night-Heron
2016,NA,NA,Malayan Night-Heron
2017,NA,NA,Malayan Night-Heron
2018,NA,NA,Malayan Night-Heron
before 2000,0.038497765,0.01111497,Mallard
2000-2006,0.043744543,0.012493606,Mallard
2007-2010,0.018910874,0.005669769,Mallard
2011-2012,0.02729686,0.007899903,Mallard
2013,0.026921065,0.007880778,Mallard
2014,0.015660252,0.004297885,Mallard
2015,0.011029349,0.003033742,Mallard
2016,0.013885061,0.003748774,Mallard
2017,0.020648128,0.005469756,Mallard
2018,0.021339029,0.005673466,Mallard
before 2000,NA,NA,Manipur Bush-Quail
2000-2006,NA,NA,Manipur Bush-Quail
2007-2010,NA,NA,Manipur Bush-Quail
2011-2012,NA,NA,Manipur Bush-Quail
2013,NA,NA,Manipur Bush-Quail
2014,NA,NA,Manipur Bush-Quail
2015,NA,NA,Manipur Bush-Quail
2016,NA,NA,Manipur Bush-Quail
2017,NA,NA,Manipur Bush-Quail
2018,NA,NA,Manipur Bush-Quail
before 2000,NA,NA,Maroon-backed Accentor
2000-2006,NA,NA,Maroon-backed Accentor
2007-2010,NA,NA,Maroon-backed Accentor
2011-2012,NA,NA,Maroon-backed Accentor
2013,NA,NA,Maroon-backed Accentor
2014,NA,NA,Maroon-backed Accentor
2015,NA,NA,Maroon-backed Accentor
2016,NA,NA,Maroon-backed Accentor
2017,NA,NA,Maroon-backed Accentor
2018,NA,NA,Maroon-backed Accentor
before 2000,0.039238553,0.007308568,Maroon Oriole
2000-2006,0.05297598,0.009356963,Maroon Oriole
2007-2010,0.039199825,0.007000263,Maroon Oriole
2011-2012,0.063371323,0.010563085,Maroon Oriole
2013,0.047297554,0.007846185,Maroon Oriole
2014,0.04786029,0.007321676,Maroon Oriole
2015,0.043522092,0.006326209,Maroon Oriole
2016,0.049537474,0.007134082,Maroon Oriole
2017,0.045136337,0.00649365,Maroon Oriole
2018,0.04729475,0.006697782,Maroon Oriole
before 2000,NA,NA,Marsh Babbler
2000-2006,NA,NA,Marsh Babbler
2007-2010,NA,NA,Marsh Babbler
2011-2012,NA,NA,Marsh Babbler
2013,NA,NA,Marsh Babbler
2014,NA,NA,Marsh Babbler
2015,NA,NA,Marsh Babbler
2016,NA,NA,Marsh Babbler
2017,NA,NA,Marsh Babbler
2018,NA,NA,Marsh Babbler
before 2000,0.041520823,0.005932871,Marsh Sandpiper
2000-2006,0.037161183,0.005403866,Marsh Sandpiper
2007-2010,0.033164865,0.004743042,Marsh Sandpiper
2011-2012,0.031632256,0.004497103,Marsh Sandpiper
2013,0.023870176,0.003318956,Marsh Sandpiper
2014,0.019782455,0.002691658,Marsh Sandpiper
2015,0.017240427,0.002320998,Marsh Sandpiper
2016,0.020298683,0.002690984,Marsh Sandpiper
2017,0.01665452,0.002214075,Marsh Sandpiper
2018,0.01745518,0.002321485,Marsh Sandpiper
before 2000,NA,NA,Mistle Thrush
2000-2006,NA,NA,Mistle Thrush
2007-2010,NA,NA,Mistle Thrush
2011-2012,NA,NA,Mistle Thrush
2013,NA,NA,Mistle Thrush
2014,0.043995117,0.014308241,Mistle Thrush
2015,0.038860653,0.012391373,Mistle Thrush
2016,0.033568829,0.010763653,Mistle Thrush
2017,0.033331274,0.01067471,Mistle Thrush
2018,0.028309981,0.009029191,Mistle Thrush
